Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    18
  14,      1.740,        718,         51,       3.39
  15,      2.013,        743,         57,       1.06
  16,      2.307,       2775,         77,       2.33
  17,      2.622,      24973,        167,      21.34
  18,      2.957,      14550,        243,      15.00
  19,      3.313,      62119,        283,      10.97
  20,      3.691,      16434,        167,      21.66
  22,      4.509,       1626,         83,       0.82
  24,      5.412,       3018,        106,       1.01
  25,      5.895,       3098,        115,       2.99
  26,      6.399,     110870,        338,       1.82
  27,      6.925,       2277,        130,       3.03
  28,      7.472,       1541,        180,       2.06
  30,      8.631,        990,        177,       1.18
  37,     13.375,        816,        168,       0.83
  47,     22.103,        527,         98,       0.61
  47,      2.984,      11475,        159,      23.59
  64,      6.054,       1159,        158,       6.58
