Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    15
  15,      2.013,       2996,         82,       6.72
  16,      2.307,       5715,        100,      18.14
  17,      2.622,       4051,        100,       2.85
  18,      2.957,      24452,        302,      21.23
  19,      3.313,      99485,        356,      29.33
  20,      3.691,      13408,        181,      56.21
  22,      4.509,        370,         96,       0.80
  24,      5.412,        823,        121,       1.51
  25,      5.895,       2506,        140,       2.53
  26,      6.399,      12580,        187,       5.89
  27,      6.925,       2424,        161,       7.10
  28,      7.472,       2408,        273,       3.85
  29,      8.041,       2337,        282,       1.62
  30,      8.631,       3741,        290,       1.02
  47,      2.984,      18132,        199,      48.43
