Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    17
  14,      1.740,        732,         48,       1.38
  15,      2.013,        418,         50,       3.04
  16,      2.307,       3541,         78,       3.37
  17,      2.622,      15165,        135,      16.45
  18,      2.957,      13969,        239,      17.98
  19,      3.313,      49091,        259,      12.58
  20,      3.691,      21249,        179,      21.23
  22,      4.509,       1116,         83,       1.53
  24,      5.412,        530,         95,       1.50
  25,      5.895,       1668,        108,       2.01
  26,      6.399,      60167,        262,       1.18
  27,      6.925,       1280,        121,       2.03
  28,      7.472,        944,        178,       2.24
  37,     13.375,        804,        158,       1.15
  47,     22.103,        379,         86,       1.04
  47,      2.984,      11657,        157,      28.48
  64,      6.054,       1045,        159,       4.71
