Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    18
  14,      1.740,       1112,         56,       1.61
  15,      2.013,        757,         59,       5.83
  16,      2.307,       2603,         78,       1.87
  17,      2.622,      30062,        182,      32.80
  18,      2.957,      12755,        238,      20.20
  19,      3.313,      71248,        298,      11.72
  20,      3.691,      21166,        182,      22.44
  22,      4.509,       3392,         94,       0.76
  24,      5.412,       1394,         95,       1.23
  25,      5.895,       3582,        114,       3.23
  26,      6.399,     101601,        325,       1.66
  27,      6.925,       1622,        124,       1.56
  28,      7.472,       1140,        178,       1.62
  30,      8.631,       1103,        179,       1.45
  37,     13.375,        769,        170,       1.16
  47,     22.103,        356,         98,       0.97
  47,      2.984,      11203,        160,      23.67
  64,      6.054,        926,        154,       5.50
